rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0387.jpg,154.8,0.7594,0.8389,1.0,0.2,10,6,False,True
2,frame_0002.jpg,0.8,0.7194,0.7388,0.5,1.0,7,3,False,True
3,frame_0031.jpg,12.4,0.7145,0.729,0.5,1.0,9,3,False,True
4,frame_0385.jpg,154.0,0.7086,0.7372,1.0,0.2,11,6,False,False
5,frame_0030.jpg,12.0,0.7061,0.6121,0.6667,1.0,10,4,False,False
6,frame_0291.jpg,116.4,0.6871,0.7381,0.5,0.84,7,3,False,True
7,frame_0176.jpg,70.4,0.6732,0.8504,0.6667,0.24,7,4,False,True
8,frame_0033.jpg,13.2,0.6668,0.6336,0.5,1.0,9,3,False,False
9,frame_0288.jpg,115.2,0.6539,0.6198,0.6667,0.72,7,4,False,False
10,frame_0017.jpg,6.8,0.6466,0.5933,0.5,1.0,8,3,False,True
11,frame_0193.jpg,77.2,0.6379,0.7797,0.6667,0.24,7,4,False,True
12,frame_0029.jpg,11.6,0.6228,0.5456,0.5,1.0,6,3,False,False
13,frame_0284.jpg,113.6,0.621,0.7179,0.5,0.56,8,3,False,True
14,frame_0076.jpg,30.4,0.5941,0.6203,0.3333,0.92,8,2,False,True
15,frame_0011.jpg,4.4,0.5907,0.5815,0.3333,1.0,3,2,False,True
16,frame_0133.jpg,53.2,0.588,0.4761,0.5,1.0,7,3,False,True
17,frame_0199.jpg,79.6,0.588,0.984,0.0,0.48,1,0,False,True
18,frame_0168.jpg,67.2,0.5864,0.5488,0.6667,0.56,6,4,False,False
19,frame_0379.jpg,151.6,0.5851,0.6542,0.8333,0.04,12,5,False,False
20,frame_0368.jpg,147.2,0.5849,0.7538,0.6667,0.04,9,4,False,False
21,frame_0300.jpg,120.0,0.5838,0.5756,0.6667,0.48,8,4,False,False
22,frame_0132.jpg,52.8,0.5783,0.4567,0.5,1.0,6,3,False,False
23,frame_0015.jpg,6.0,0.5748,0.5496,0.3333,1.0,7,2,False,False
24,frame_0016.jpg,6.4,0.5735,0.5471,0.3333,1.0,6,2,False,False
25,frame_0209.jpg,83.6,0.5732,0.6585,0.3333,0.72,3,2,False,False
26,frame_0399.jpg,159.6,0.573,0.6339,0.6667,0.28,9,4,False,False
27,frame_0007.jpg,2.8,0.5724,0.5449,0.3333,1.0,7,2,False,False
28,frame_0080.jpg,32.0,0.5716,0.6392,0.3333,0.76,5,2,False,False
29,frame_0026.jpg,10.4,0.5661,0.5322,0.3333,1.0,4,2,False,False
30,frame_0126.jpg,50.4,0.564,0.6241,0.3333,0.76,8,2,False,False
31,frame_0333.jpg,133.2,0.5632,0.6944,0.6667,0.08,10,4,False,False
32,frame_0388.jpg,155.2,0.5616,0.6592,0.6667,0.16,10,4,False,False
33,frame_0069.jpg,27.6,0.5607,0.4214,0.5,1.0,8,3,False,False
34,frame_0231.jpg,92.4,0.5585,0.8531,0.3333,0.16,10,2,False,False
35,frame_0075.jpg,30.0,0.5573,0.5306,0.3333,0.96,7,2,False,False
36,frame_0170.jpg,68.0,0.5561,0.6202,0.5,0.48,9,3,False,False
37,frame_0125.jpg,50.0,0.556,0.624,0.3333,0.72,7,2,False,False
38,frame_0032.jpg,12.8,0.5542,0.5085,0.3333,1.0,6,2,False,False
39,frame_0232.jpg,92.8,0.5525,0.725,0.5,0.2,8,3,False,False
40,frame_0207.jpg,82.8,0.5513,0.6825,0.1667,0.8,3,1,False,False
41,frame_0378.jpg,151.2,0.5462,0.6604,0.6667,0.08,11,4,False,False
42,frame_0167.jpg,66.8,0.546,0.752,0.1667,0.6,8,1,False,False
43,frame_0299.jpg,119.6,0.5459,0.5839,0.5,0.52,7,3,False,False
44,frame_0074.jpg,29.6,0.5401,0.4802,0.3333,1.0,9,2,False,False
45,frame_0070.jpg,28.0,0.538,0.576,0.1667,1.0,8,1,False,False
46,frame_0097.jpg,38.8,0.5373,0.7425,0.5,0.08,7,3,False,False
47,frame_0316.jpg,126.4,0.5368,0.8097,0.3333,0.16,11,2,False,False
48,frame_0009.jpg,3.6,0.5349,0.5697,0.1667,1.0,3,1,False,False
49,frame_0013.jpg,5.2,0.5345,0.4691,0.3333,1.0,3,2,False,False
50,frame_0014.jpg,5.6,0.5328,0.5656,0.1667,1.0,5,1,False,False
51,frame_0079.jpg,31.6,0.5306,0.5412,0.3333,0.8,9,2,False,False
52,frame_0203.jpg,81.2,0.528,0.4999,0.5,0.64,5,3,False,False
53,frame_0089.jpg,35.6,0.5265,0.693,0.3333,0.4,8,2,False,False
54,frame_0178.jpg,71.2,0.5251,0.6862,0.5,0.16,7,3,False,False
55,frame_0086.jpg,34.4,0.5236,0.5392,0.5,0.52,6,3,False,False
56,frame_0006.jpg,2.4,0.5231,0.4463,0.3333,1.0,5,2,False,False
57,frame_0095.jpg,38.0,0.5216,0.6792,0.5,0.16,7,3,False,False
58,frame_0383.jpg,153.2,0.5211,0.4943,0.8333,0.12,8,5,False,False
59,frame_0374.jpg,149.6,0.5173,0.6547,0.5,0.2,7,3,False,False
60,frame_0278.jpg,111.2,0.5157,0.5034,0.6667,0.32,8,4,False,False
61,frame_0172.jpg,68.8,0.5129,0.5658,0.5,0.4,8,3,False,False
62,frame_0021.jpg,8.4,0.5104,0.5207,0.1667,1.0,6,1,False,False
63,frame_0296.jpg,118.4,0.51,0.6639,0.1667,0.64,8,1,False,False
